case_key,center_id,H,K,budget_tier,token,arch_idx,step,support_mse,validation_wmse,check_wmse,check_mae,check_worst10,cumulative_adaptation_seconds
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A1,1,50,0.0018202316714450717,0.013236600905656815,0.01464005932211876,0.09841914474964142,0.04856317490339279,0.24463410000000962
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A6,6,0,0.014454090967774391,0.005340633913874626,0.005297783296555281,0.059471141546964645,0.020092545077204704,0.0
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A6,6,1,0.01300986111164093,0.004849388729780912,0.004887073766440153,0.05711204558610916,0.01863638125360012,0.0044378999999992175
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A6,6,5,0.008466576226055622,0.003562626428902149,0.0038833136204630136,0.05158071592450142,0.014880269765853882,0.019927199999997924
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A6,6,10,0.004895463120192289,0.003012188244611025,0.003608118975535035,0.04946653172373772,0.014467746950685978,0.04190240000000145
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A6,6,20,0.0017226692289113998,0.003455817000940442,0.004402261693030596,0.05317958816885948,0.018971046432852745,0.06678580000000522
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A6,6,50,0.0004886643146164715,0.005221691448241472,0.006484223995357752,0.06521378457546234,0.026637589558959007,0.17662489999999664
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A13,13,0,0.007859999313950539,0.006532376632094383,0.007120628375560045,0.07013645768165588,0.0255805142223835,0.0
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A13,13,1,0.007540948688983917,0.006614831741899252,0.007225110195577145,0.07042580842971802,0.02604547142982483,0.006297200000002334
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A13,13,5,0.006381691433489323,0.006984727457165718,0.007679049391299486,0.07180636376142502,0.02792646549642086,0.027699900000001776
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A13,13,10,0.005143174435943365,0.007545890286564827,0.008340233005583286,0.07411526143550873,0.030420662835240364,0.05205720000000014
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A13,13,20,0.003428097814321518,0.00872182659804821,0.009678362868726254,0.07918422669172287,0.03471503406763077,0.10445819999999273
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A13,13,50,0.0012092668330296874,0.01192671712487936,0.013192073442041874,0.09417498856782913,0.04366440325975418,0.265293599999989
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A55,55,0,0.0019973411690443754,0.005403514020144939,0.005433716811239719,0.060581281781196594,0.0206732340157032,0.0
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A55,55,1,0.001967164222151041,0.005457937717437744,0.0054860603995621204,0.06088894233107567,0.020839659497141838,0.07916930000000022
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A55,55,5,0.0018811386544257402,0.005646712612360716,0.005667802877724171,0.061925340443849564,0.021406078711152077,0.3575870000000023
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A55,55,10,0.0018210627604275942,0.005822514183819294,0.005837262608110905,0.06285835802555084,0.02190299890935421,0.7902163000000009
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A55,55,20,0.0017637278651818633,0.006023778114467859,0.006031412165611982,0.0638892650604248,0.022463282570242882,1.5576848999999982
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A55,55,50,0.0016792837996035814,0.0061205290257930756,0.006124352104961872,0.06433434039354324,0.022734904661774635,3.8236553999999927
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A56,56,0,0.0012381727574393153,0.00353391095995903,0.003366683842614293,0.04784092307090759,0.012838245369493961,0.0
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A56,56,1,0.0011501169065013528,0.0036019585095345974,0.0034360368736088276,0.048344679176807404,0.013099796138703823,0.07577270000000169
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A56,56,5,0.0009205730748362839,0.0038613551296293736,0.0036989504005759954,0.05018870532512665,0.014062141068279743,0.34376500000000476
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A56,56,10,0.0007901112549006939,0.004125481471419334,0.003965150099247694,0.051979273557662964,0.014964456669986248,0.7263157000000078
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A56,56,20,0.00071090052369982,0.004445033613592386,0.004285694565623999,0.05414093658328056,0.015979837626218796,1.4504378000000102
c1080_h1_k10_bmedium,1080,1,10,medium,STRONG_A56,56,50,0.000675080984365195,0.004666131921112537,0.004504614043980837,0.055613547563552856,0.016668260097503662,4.10416660000001
c1080_h1_k20_bmedium,1080,1,20,medium,PT_A57,57,0,0.0019102335209026933,0.004272057209163904,0.004382312763482332,0.05580684170126915,0.014932242222130299,0.0
c1080_h1_k20_bmedium,1080,1,20,medium,PT_A57,57,1,0.0018980540335178375,0.004250363912433386,0.0043604555539786816,0.05566192418336868,0.014868976548314095,0.08805219999999991
c1080_h1_k20_bmedium,1080,1,20,medium,PT_A57,57,5,0.0018621577182784677,0.004187683574855328,0.004297418054193258,0.05524144321680069,0.014681661501526833,0.423186599999994
c1080_h1_k20_bmedium,1080,1,20,medium,PT_A57,57,10,0.0018341975519433618,0.004147060681134462,0.004256854765117168,0.05497363209724426,0.014570397324860096,0.8084468999999999
c1080_h1_k20_bmedium,1080,1,20,medium,PT_A57,57,20,0.0017995483940467238,0.004132290370762348,0.004243125673383474,0.05488564819097519,0.014542976394295692,1.5242965999999996
c1080_h1_k20_bmedium,1080,1,20,medium,PT_A57,57,50,0.0017271202523261309,0.004246381111443043,0.004361940082162619,0.05571816861629486,0.014913887716829777,3.762173400000009
c1080_h1_k20_bmedium,1080,1,20,medium,C1_A57,57,0,0.004137102514505386,0.0044726119376719,0.004497802350670099,0.05381187051534653,0.01964070275425911,0.0
c1080_h1_k20_bmedium,1080,1,20,medium,C1_A57,57,1,0.0036143355537205935,0.004962659440934658,0.00499297259375453,0.05703623965382576,0.021337658166885376,0.04223079999999868
c1080_h1_k20_bmedium,1080,1,20,medium,C1_A57,57,5,0.003029430750757456,0.006363542750477791,0.00640135956928134,0.06588760763406754,0.025796132162213326,0.33991989999999817
c1080_h1_k20_bmedium,1080,1,20,medium,C1_A57,57,10,0.002966769505292177,0.006963012740015984,0.007001830730587244,0.0694451555609703,0.027493814006447792,0.726514999999992
c1080_h1_k20_bmedium,1080,1,20,medium,C1_A57,57,20,0.0029490969609469175,0.007146455347537994,0.007183524779975414,0.07050527632236481,0.02797122858464718,1.5669157999999896
c1080_h1_k20_bmedium,1080,1,20,medium,C1_A57,57,50,0.0029056232888251543,0.007184476125985384,0.007214811630547047,0.07071811705827713,0.028006114065647125,3.875025800000003
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A1,1,0,0.008976995013654232,0.007102811709046364,0.007797596510499716,0.07478462904691696,0.026523904874920845,0.0
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A1,1,1,0.008648724295198917,0.007165164221078157,0.007880712859332561,0.07498008757829666,0.026956086978316307,0.006683699999996406
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A1,1,5,0.007498444058001041,0.0074465894140303135,0.008239340968430042,0.07587325572967529,0.028693687170743942,0.026697699999999713
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A1,1,10,0.006312986370176077,0.007874994538724422,0.00875810720026493,0.07726482301950455,0.030888231471180916,0.046004100000004655
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A1,1,20,0.004644723609089851,0.008863902650773525,0.009905233047902584,0.08079702407121658,0.035124026238918304,0.07986569999999205
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A1,1,50,0.0026237040292471647,0.011633495800197124,0.01298604067414999,0.0921216681599617,0.044131115078926086,0.2080323000000135
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A6,6,0,0.012102002277970314,0.005249499808996916,0.005303428042680025,0.059384845197200775,0.02019619196653366,0.0
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A6,6,1,0.010878759436309338,0.0048062847927212715,0.004927285015583038,0.05724022537469864,0.018861085176467896,0.004141100000005338
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A6,6,5,0.007160273380577564,0.0036278520710766315,0.0039792750030756,0.05216244235634804,0.015240037813782692,0.02290340000001123
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A6,6,10,0.004431930836290121,0.003049527294933796,0.0036159614101052284,0.04978916049003601,0.01428311225026846,0.047520400000010454
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A6,6,20,0.00226439512334764,0.0031219162046909332,0.003946161363273859,0.05082226172089577,0.016790295019745827,0.09219300000001596
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A6,6,50,0.001574837020598352,0.003923211246728897,0.0049536945298314095,0.05627347156405449,0.021459445357322693,0.2125867000000028
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A13,13,0,0.006738671101629734,0.006492753513157368,0.007192846387624741,0.07073415815830231,0.025669381022453308,0.0
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A13,13,1,0.006508163642138243,0.0065608243457973,0.0072774337604641914,0.0709618553519249,0.026043256744742393,0.005820499999998674
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A13,13,5,0.005718905478715897,0.006837338674813509,0.007613011635839939,0.0719265267252922,0.02745046094059944,0.02530060000000134
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A13,13,10,0.004878114443272352,0.007264288607984781,0.008114437572658062,0.07358796894550323,0.02938620001077652,0.051233300000014026
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A13,13,20,0.003786201123148203,0.008084573782980442,0.009050063788890839,0.07693777978420258,0.032606061547994614,0.09556750000002268
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A13,13,50,0.0024597446899861097,0.010163869708776474,0.011349867098033428,0.08610522001981735,0.03915052115917206,0.2215116000000208
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A55,55,0,0.003009343519806862,0.005409083794802427,0.005433336831629276,0.06055723875761032,0.020764561370015144,0.0
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A55,55,1,0.0029966665897518396,0.00544164702296257,0.0054640076123178005,0.060739196836948395,0.02086351253092289,0.0820031999999955
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A55,55,5,0.002958361990749836,0.005552876275032759,0.005569164175540209,0.06135046109557152,0.02119210734963417,0.41792539999998723
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A55,55,10,0.00292757130227983,0.00565527006983757,0.005666648503392935,0.06191014125943184,0.021482370793819427,0.8182295999999951
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A55,55,20,0.002888948190957308,0.005774776451289654,0.0057820831425487995,0.0625649243593216,0.0218048058450222,1.6342719000000088
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A55,55,50,0.0028067391831427813,0.005856500938534737,0.005868886597454548,0.06304847449064255,0.02200283855199814,4.059895000000019
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A56,56,0,0.0020562277641147375,0.0034987900871783495,0.003372705075889826,0.04789658263325691,0.012900508008897305,0.0
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A56,56,1,0.0020132341887801886,0.0035443510860204697,0.003416843246668577,0.04821833223104477,0.013067683205008507,0.10765200000000164
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A56,56,5,0.0018974520498886704,0.00371197029016912,0.0035790784750133753,0.049380771815776825,0.013672848232090473,0.45658580000000626
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A56,56,10,0.0018250897992402315,0.0038799885660409927,0.00374112231656909,0.05049709230661392,0.014246644452214241,0.8770084000000011
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A56,56,20,0.0017662191530689597,0.004093858879059553,0.003945152275264263,0.051866307854652405,0.01493088249117136,1.6584722999999926
c1080_h1_k20_bmedium,1080,1,20,medium,STRONG_A56,56,50,0.001692055957391858,0.004318231716752052,0.004147591069340706,0.05319811776280403,0.015579376369714737,4.149238199999957
c1080_h4_k10_bmedium,1080,4,10,medium,PT_A57,57,0,0.002044336637482047,0.0046194614842534065,0.004639073275029659,0.05686691403388977,0.014205402694642544,0.0
c1080_h4_k10_bmedium,1080,4,10,medium,PT_A57,57,1,0.0019850388634949923,0.004657125566154718,0.00467570498585701,0.05707221105694771,0.014374115504324436,0.05530180000000229
c1080_h4_k10_bmedium,1080,4,10,medium,PT_A57,57,5,0.0017831003060564399,0.00480938283726573,0.004823936615139246,0.05788350850343704,0.015007360838353634,0.3667885999999996
c1080_h4_k10_bmedium,1080,4,10,medium,PT_A57,57,10,0.0015946388011798263,0.004996982868760824,0.0050068083219230175,0.05887164920568466,0.015709534287452698,0.6603205999999986
c1080_h4_k10_bmedium,1080,4,10,medium,PT_A57,57,20,0.0013599481899291277,0.005338926799595356,0.005340505391359329,0.06064504384994507,0.016876041889190674,1.4109126999999972
c1080_h4_k10_bmedium,1080,4,10,medium,PT_A57,57,50,0.0011335688177496195,0.006003156304359436,0.005989117082208395,0.0639830008149147,0.01890942081809044,3.7331664999999603
c1080_h4_k10_bmedium,1080,4,10,medium,C1_A57,57,0,0.005511141382157803,0.009313298389315605,0.009324771352112293,0.07868261635303497,0.03330133482813835,0.0
c1080_h4_k10_bmedium,1080,4,10,medium,C1_A57,57,1,0.004991648718714714,0.009718085639178753,0.009739764034748077,0.08078961819410324,0.034640196710824966,0.07621119999999593
c1080_h4_k10_bmedium,1080,4,10,medium,C1_A57,57,5,0.0035550829488784075,0.01128479652106762,0.011338626965880394,0.08849333971738815,0.03944293037056923,0.4273156
c1080_h4_k10_bmedium,1080,4,10,medium,C1_A57,57,10,0.0026392799336463213,0.012934821657836437,0.013014938682317734,0.09608690440654755,0.04397246614098549,0.8282589000000016
c1080_h4_k10_bmedium,1080,4,10,medium,C1_A57,57,20,0.0019838002044707537,0.015048046596348286,0.01515540387481451,0.10532388836145401,0.04924444854259491,1.6192949000000212
c1080_h4_k10_bmedium,1080,4,10,medium,C1_A57,57,50,0.0017331574345007539,0.01672503538429737,0.016849420964717865,0.11206600069999695,0.05314318463206291,4.037269400000007
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A1,1,0,0.006245824042707682,0.012698313221335411,0.01407032459974289,0.09815341234207153,0.044643498957157135,0.0
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A1,1,1,0.006204512901604176,0.01274283416569233,0.014118014834821224,0.09831596165895462,0.04477687552571297,0.005860599999991223
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A1,1,5,0.006043347995728254,0.012920725159347057,0.014308428391814232,0.09896590560674667,0.045305751264095306,0.021554000000008955
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A1,1,10,0.005850767716765404,0.013142520561814308,0.014545531012117863,0.09977244585752487,0.045956507325172424,0.04417680000000246
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A1,1,20,0.005493397358804941,0.013583376072347164,0.015015874058008194,0.10136320441961288,0.04722368344664574,0.09110249999999098
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A1,1,50,0.004613132681697607,0.014871159568428993,0.016383744776248932,0.10592225939035416,0.050755806267261505,0.21832600000006153
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A6,6,0,0.00999786239117384,0.004044541157782078,0.004049803130328655,0.05255252867937088,0.013661157339811325,0.0
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A6,6,1,0.009560209698975086,0.003935062792152166,0.003954162821173668,0.051880236715078354,0.013409221544861794,0.006296200000008412
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A6,6,5,0.007961121387779713,0.003561442717909813,0.0036326355766505003,0.04943738132715225,0.012649386189877987,0.02830550000001608
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A6,6,10,0.00628418056294322,0.0032268455252051353,0.0033564649056643248,0.046976543962955475,0.012060531415045261,0.044200700000004645
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A6,6,20,0.0038586256559938192,0.0029073699843138456,0.0031376404222100973,0.044346146285533905,0.012255431152880192,0.0792357999999922
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A6,6,50,0.001111225807107985,0.00326141226105392,0.0036554818507283926,0.04678039252758026,0.016680914908647537,0.1960945999999808
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A13,13,0,0.006245824974030256,0.012698313221335411,0.01407032273709774,0.09815339744091034,0.044643498957157135,0.0
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A13,13,1,0.006204513367265463,0.012742833234369755,0.014118014834821224,0.09831595420837402,0.04477686807513237,0.0070453999999955386
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A13,13,5,0.006043348927050829,0.012920722365379333,0.014308428391814232,0.09896590560674667,0.045305751264095306,0.02804839999998876
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A13,13,10,0.005850769113749266,0.013142518699169159,0.014545531012117863,0.09977244585752487,0.045956503599882126,0.05853269999998645
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A13,13,20,0.005493398290127516,0.013583374209702015,0.015015874058008194,0.10136320441961288,0.04722367599606514,0.10850429999999278
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A13,13,50,0.004613132681697607,0.014871159568428993,0.016383744776248932,0.10592225939035416,0.050755806267261505,0.25697790000000964
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A55,55,0,0.009990725666284561,0.004679025616496801,0.003964229952543974,0.04969111084938049,0.015830298885703087,0.0
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A55,55,1,0.009087562561035156,0.004360851366072893,0.0036781192757189274,0.04771920293569565,0.01479409635066986,0.08390590000000486
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A55,55,5,0.006285581737756729,0.0035456442274153233,0.002962007885798812,0.043003328144550323,0.011534790508449078,0.40783699999998646
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A55,55,10,0.004066258203238249,0.0032042977400124073,0.0026994936633855104,0.041683316230773926,0.009792409837245941,0.8380007999999606
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A55,55,20,0.0018985308706760406,0.003505545435473323,0.00308067980222404,0.04519767686724663,0.010822072625160217,1.6919482999999644
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A55,55,50,0.000648253015242517,0.005108922719955444,0.004740004427731037,0.05674955993890762,0.01569199003279209,4.060335299999977
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A56,56,0,0.008925692178308964,0.006149250082671642,0.005906915292143822,0.06293193250894547,0.0198178980499506,0.0
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A56,56,1,0.008459336124360561,0.0060959081165492535,0.005839585326611996,0.06274975091218948,0.01930312067270279,0.08362850000000321
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A56,56,5,0.006857649888843298,0.005988278426229954,0.005680330563336611,0.06245853006839752,0.01790950447320938,0.40368320000000324
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A56,56,10,0.0053404150530695915,0.0060309129767119884,0.005667098332196474,0.06283353269100189,0.01736779697239399,0.7769591999999932
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A56,56,20,0.003410892328247428,0.006436406169086695,0.005984213203191757,0.06493156403303146,0.018471335992217064,1.568518200000014
c1080_h4_k10_bmedium,1080,4,10,medium,STRONG_A56,56,50,0.0015089393127709627,0.007991175167262554,0.007392827421426773,0.07177972793579102,0.023911206051707268,4.106211299999984
c1080_h4_k20_bmedium,1080,4,20,medium,PT_A57,57,0,0.002385722240433097,0.004644719418138266,0.004613033030182123,0.05665942281484604,0.014179892838001251,0.0
c1080_h4_k20_bmedium,1080,4,20,medium,PT_A57,57,1,0.002380893798545003,0.004644246306270361,0.004612552002072334,0.056658364832401276,0.014184114523231983,0.06749569999999494
c1080_h4_k20_bmedium,1080,4,20,medium,PT_A57,57,5,0.002363167004659772,0.004643592517822981,0.004611881449818611,0.05665772780776024,0.0142031479626894,0.37897089999998457
c1080_h4_k20_bmedium,1080,4,20,medium,PT_A57,57,10,0.0023439840879291296,0.0046450491063296795,0.004613339900970459,0.05666657164692879,0.014229577034711838,0.7864279999999724
c1080_h4_k20_bmedium,1080,4,20,medium,PT_A57,57,20,0.0023125687148422003,0.004653118550777435,0.004621497355401516,0.05670984461903572,0.014286812394857407,1.5816551999999717
c1080_h4_k20_bmedium,1080,4,20,medium,PT_A57,57,50,0.002244340255856514,0.0046949321404099464,0.0046641337685287,0.0569240003824234,0.014471041969954967,2.7877297999999513
c1080_h4_k20_bmedium,1080,4,20,medium,C1_A57,57,0,0.006158104632049799,0.009347917512059212,0.00922767911106348,0.07811452448368073,0.03330133482813835,0.0
c1080_h4_k20_bmedium,1080,4,20,medium,C1_A57,57,1,0.0060385167598724365,0.009322663769125938,0.009204250760376453,0.07815038412809372,0.033391956239938736,0.08488559999999978
c1080_h4_k20_bmedium,1080,4,20,medium,C1_A57,57,5,0.005666648969054222,0.009257308207452297,0.009144899435341358,0.0783476009964943,0.03370780870318413,0.19603099999999962
c1080_h4_k20_bmedium,1080,4,20,medium,C1_A57,57,10,0.005371376872062683,0.009225980378687382,0.009118830785155296,0.07856550067663193,0.03401336446404457,0.3341075999999994
c1080_h4_k20_bmedium,1080,4,20,medium,C1_A57,57,20,0.005080001428723335,0.009231113828718662,0.009129798971116543,0.07889211922883987,0.034379586577415466,0.617251600000003
c1080_h4_k20_bmedium,1080,4,20,medium,C1_A57,57,50,0.004878267180174589,0.009308310225605965,0.009209327399730682,0.07934432476758957,0.034671735018491745,1.412517000000003
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A1,1,0,0.005111514590680599,0.012710689567029476,0.014258349314332008,0.0990193709731102,0.044643498957157135,0.0
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A1,1,1,0.005083321128040552,0.012748301960527897,0.014298717491328716,0.09915503859519958,0.04475525766611099,0.01230239999999938
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A1,1,5,0.004973333328962326,0.012898260727524757,0.014459555968642235,0.09969685971736908,0.04519810155034065,0.02091010000000182
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A1,1,10,0.00484191020950675,0.013084521517157555,0.014659116975963116,0.10036635398864746,0.04574229568243027,0.028349399999999747
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A1,1,20,0.004598027560859919,0.013452607207000256,0.015052820555865765,0.10168507695198059,0.04679989069700241,0.04470330000000011
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A1,1,50,0.00399729935452342,0.014514042064547539,0.01618383824825287,0.10543813556432724,0.04973408952355385,0.09530940000000321
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A6,6,0,0.006759369280189276,0.0040152426809072495,0.004063171800225973,0.05263238772749901,0.013661157339811325,0.0
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A6,6,1,0.006504097022116184,0.00393200758844614,0.003988569136708975,0.052113939076662064,0.013467521406710148,0.002190799999999271
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A6,6,5,0.00559271639212966,0.003642394905909896,0.003730675671249628,0.050221655517816544,0.012863757088780403,0.010302100000000536
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A6,6,10,0.004675372038036585,0.0033666538074612617,0.0034890298265963793,0.04822804033756256,0.012313924729824066,0.02124449999999989
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A6,6,20,0.003426862647756934,0.0030326540581882,0.0032099077943712473,0.04551061987876892,0.011952032335102558,0.041841700000002646
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A6,6,50,0.0021489534992724657,0.0028511760756373405,0.003117271466180682,0.043671611696481705,0.013003871776163578,0.0983701000000039
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A13,13,0,0.005111515522003174,0.012710687704384327,0.014258346520364285,0.0990193709731102,0.044643498957157135,0.0
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A13,13,1,0.005083322059363127,0.012748300097882748,0.014298713766038418,0.09915503859519958,0.044755253940820694,0.0030082999999994087
c1080_h4_k20_bmedium,1080,4,20,medium,STRONG_A13,13,5,0.004973334260284901,0.012898258864879608,0.01445955503731966,0.09969685971736908,0.045198094099760056,0.013587400000000471
